Latitude,Longitude,scientific_name
38.98955768,-77.94722331,Solanum carolinense
41.70334487,-87.72214724,Solanum carolinense
43.62629685,-73.35683727,Solanum carolinense
40.08102807,-75.457013,Solanum carolinense
39.3464908,-89.6408187,Solanum carolinense
36.6733505,-76.3633907,Solanum carolinense carolinense
33.87118861,-83.80010907,Solanum carolinense
35.8948523,-78.5790375,Solanum carolinense
38.12893806,-79.04271173,Solanum carolinense
38.12892838,-79.04270345,Solanum carolinense
38.91561502,-77.0708277,Solanum carolinense
41.90575259,-89.33694516,Solanum carolinense
32.88944444,-97.22166667,Solanum carolinense
42.39726462,-76.56072822,Solanum carolinense
34.85784167,-82.40183833,Solanum carolinense
38.936425,-77.331405,Solanum carolinense
35.58578611,-83.07160833,Solanum carolinense
33.05063445,-96.66811333,Solanum carolinense
35.58661833,-83.07374333,Solanum carolinense
38.8607,-75.291499,Solanum carolinense
43.43047,-76.54290833,Solanum carolinense
38.93219305,-77.82957862,Solanum carolinense
35.8958036,-80.01631428,Solanum carolinense
35.585751,-83.071815,Solanum carolinense
40.65935617,-75.62179484,Solanum carolinense
32.85950578,-96.68501461,Solanum carolinense
42.86540431,-72.61887604,Solanum carolinense
35.89861298,-79.93027496,Solanum carolinense
39.00080678,-76.66920427,Solanum carolinense
40.28953,-75.78780333,Solanum carolinense
40.46241667,-79.91903611,Solanum carolinense
29.98385,-95.30803,Solanum carolinense
35.58575,-83.07181667,Solanum carolinense
36.29986652,-86.05959171,Solanum carolinense
40.06725,-78.32074167,Solanum carolinense
32.58910438,-97.09865056,Solanum carolinense
42.20302316,-86.25757864,Solanum carolinense
42.46773833,-89.08091667,Solanum carolinense
35.8714849,-78.732033,Solanum carolinense
42.47750833,-76.46801167,Solanum carolinense
38.121508,-75.296936,Solanum carolinense
39.17016754,-76.63137137,Solanum carolinense
39.73978772,-76.04094744,Solanum carolinense
41.078413,-73.849738,Solanum carolinense
40.13681667,-75.3387,Solanum carolinense
39.12379607,-84.24549569,Solanum carolinense
43.29044879,-79.87515014,Solanum carolinense
35.48685667,-82.62852167,Solanum carolinense
42.85350703,-72.55773124,Solanum carolinense
36.90086555,-80.24986066,Solanum carolinense
36.92789682,-80.248267,Solanum carolinense
28.805412,-81.44224,Solanum carolinense
41.658035,-81.183018,Solanum carolinense
41.56753667,-81.41626667,Solanum carolinense
42.85438229,-72.55983097,Solanum carolinense
30.990508,-91.3660067,Solanum carolinense
32.438975,-93.66235278,Solanum carolinense
41.22078,-81.51207,Solanum carolinense
37.3575969,-89.11068632,Solanum carolinense
41.29070379,-73.5998541,Solanum carolinense
41.20768333,-79.758575,Solanum carolinense
42.46383451,-87.80779839,Solanum carolinense
33.15928617,-96.61815,Solanum carolinense
35.96813965,-78.9682312,Solanum carolinense
39.98550735,-75.48734019,Solanum carolinense
37.19123333,-80.32016167,Solanum carolinense
35.95634167,-82.16964722,Solanum carolinense
35.95634722,-82.16966111,Solanum carolinense
35.95634722,-82.16966111,Solanum carolinense
41.48083359,-87.16540052,Solanum carolinense
38.66092911,-77.21283674,Solanum carolinense
41.54174798,-87.04331133,Solanum carolinense
38.93249002,-77.30414517,Solanum carolinense
32.60027695,-97.11833191,Solanum carolinense
30.0380695,-95.39861333,Solanum carolinense
35.27237778,-85.71809444,Solanum carolinense
33.50767201,-86.73991584,Solanum carolinense
42.2558298,-83.0482198,Solanum carolinense
35.57118551,-82.56584952,Solanum carolinense
37.2285259,-76.49731843,Solanum carolinense
37.23215865,-76.51324587,Solanum carolinense
36.13353501,-79.82902441,Solanum carolinense
40.62483667,-80.03383617,Solanum carolinense
35.731431,-78.65343098,Solanum carolinense
37.3652544,-77.25783971,Solanum carolinense
35.85915179,-78.98967767,Solanum carolinense
29.76624097,-95.58173362,Solanum carolinense
41.53965404,-87.75250656,Solanum carolinense
41.53961203,-87.7525365,Solanum carolinense
39.87960817,-83.99632104,Solanum carolinense
42.96111487,-77.05349204,Solanum carolinense
39.88210338,-83.99908269,Solanum carolinense
