"","Pop","Ppop_ID","Latitude","Trichomes_Garden","Trichomes_Field","SLA_Garden","SLA_Field","Conc_Garden","Conc_Field"
"258","KAN","KAN-6",41.0491084,NA,204,NA,125.316455696203,NA,0.195760045424469
"259","KAN","KAN-7",41.0491084,NA,152,NA,138.914728682171,NA,0.274898563368331
"260","KAN","KAN-8",41.0491084,NA,248,NA,120.519480519481,NA,0.238981851378424
"261","KAN","KAN-9",41.0491084,NA,308,NA,127.714285714286,NA,0.198513949895043
"262","MOR","MOR-1",33.805162,136,NA,192.994923857868,NA,0.642749109869975,NA
"263","MOR","MOR-4",33.805162,109.783333333333,NA,173.841295546558,NA,0.655856213955316,NA
"264","MOR","MOR-6",33.805162,123.4921875,NA,167.312844771539,NA,0.715408252246146,NA
"265","N1","N1 - Plant 1",41.060078,NA,228,NA,139.655172413793,NA,0.792889972188793
"266","N1","N1 - Plant 10",41.060078,NA,243,NA,96.043956043956,NA,0.679840312974353
"267","N1","N1 - Plant 11",41.060078,NA,345,NA,113.864541832669,NA,0.883882986643795
"268","N1","N1 - Plant 2",41.060078,NA,139,NA,157.131147540984,NA,0.44519698563892
"269","N1","N1 - Plant 3",41.060078,NA,83,NA,119.079754601227,NA,0.243781859469301
"270","N1","N1 - Plant 4",41.060078,NA,77,NA,145.555555555556,NA,0.313647566558671
"271","N1","N1 - Plant 5",41.060078,NA,134,NA,158.275862068966,NA,0.239452752649074
"272","N1","N1 - Plant 6",41.060078,NA,98,NA,130,NA,0.580941350523579
"273","N1","N1 - Plant 7",41.060078,NA,81,NA,151.692307692308,NA,0.488082066471799
"274","N1","N1 - Plant 8",41.060078,NA,128,NA,125.079365079365,NA,0.387836942053025
"275","N1","N1 - Plant 9",41.060078,NA,78,NA,152.133333333333,NA,0.65543101707263
"276","N10","Kettle-2",43.642057,NA,60,NA,193.548387096774,NA,0.708832591401194
"277","N10","Kettle-3",43.642057,NA,44,NA,189.0625,NA,0.693852940238927
"278","N10","Kettle-4",43.642057,NA,68,NA,144.594594594595,NA,0.88317900646543
"279","N10","Kettle-5",43.642057,NA,96,NA,130.630630630631,NA,0.447547433891198
"280","N10","Kettle-6",43.642057,NA,56,NA,233.673469387755,NA,0.286001078302304
"281","N2","N2 - Plant 1",41.378575,NA,81,NA,266,NA,0.529303623005812
"282","N2","N2 - Plant 10",41.378575,NA,112,NA,176.125,NA,0.858591464126147
"283","N2","N2 - Plant 11",41.378575,NA,184,NA,158.6,NA,0.5981332915187
"284","N2","N2 - Plant 2",41.378575,NA,82,NA,152.296296296296,NA,0.498789786867999
"285","N2","N2 - Plant 3",41.378575,NA,93,NA,195.223880597015,NA,0.692178773182705
"286","N2","N2 - Plant 4",41.378575,NA,139,NA,194.153225806452,NA,0.694178749026429
"287","N2","N2 - Plant 5",41.378575,NA,187,NA,143.598326359833,NA,0.655583775234047
"288","N2","N2 - Plant 6",41.378575,NA,100,NA,215.2,NA,0.733815155765264
"289","N2","N2 - Plant 7",41.378575,NA,188,NA,185.31914893617,NA,1.34758332031523
"290","N2","N2 - Plant 8",41.378575,NA,107,NA,193.168316831683,NA,0.598226721714565
"291","N2","N2 - Plant 9",41.378575,NA,83,NA,21.1407407407407,NA,0.693398626033357
"292","N2","N2-5A",41.378575,71,NA,137.178329571106,NA,0.252118119797786,NA
"293","N2","N2-5B",41.378575,56.75,NA,158.986486486486,NA,0.250284935746252,NA
"294","N2","N2-6A",41.378575,54.75,NA,174.822134387352,NA,0.232644353489594,NA
"295","N2","N2-6B",41.378575,77.25,NA,143.77358490566,NA,0.623328506961548,NA
"296","N3","N3 - Plant 1",42.957818,NA,92,NA,135.762711864407,NA,0.624451501076872
"297","N3","N3 - Plant 2",42.957818,NA,132,NA,133.235294117647,NA,0.413978397042194
"298","N3","N3 - Plant 3",42.957818,NA,95,NA,235.25641025641,NA,0.534665610574235
"299","N3","N3 - Plant 4",42.957818,NA,133,NA,178.703703703704,NA,0.575037486000272
"300","N3","N3 - Plant 5",42.957818,NA,115,NA,154.964539007092,NA,0.596088546544349
"301","N3","N3 - Plant 6",42.957818,NA,141,NA,141.981132075472,NA,0.618923294001148
"302","N3","N3 - Plant 7",42.957818,NA,108,NA,159.322033898305,NA,0.941749198404018
"303","N4","N4 - Plant 1",42.950489,NA,98,NA,176.785714285714,NA,0.158623919972274
"304","N4","N4 - Plant 2",42.950489,NA,74,NA,131.627906976744,NA,0.418345153854098
"305","N4","N4 - Plant 3",42.950489,NA,99,NA,160.655737704918,NA,0.202136729812794
"306","N4","N4 - Plant 4",42.950489,NA,109,NA,95.945945945946,NA,0.255820967275113
"307","N4","N4 - Plant 5",42.950489,NA,135,NA,130.168539325843,NA,0.9141637407018
"308","N4","N4 - Plant 6",42.950489,NA,162,NA,136.622516556291,NA,0.628654781642041
"309","N4","N4 - Plant 7",42.950489,NA,170,NA,119.134199134199,NA,0.590087598489392
"310","N5","Culvan-1",42.442998,NA,164,NA,132.388059701493,NA,0.905289996219649
"311","N5","Culvan-2",42.442998,NA,144,NA,150.724637681159,NA,0.761171963239268
"312","N5","Culvan-3",42.442998,NA,124,NA,133.070866141732,NA,0.60472975596236
"313","N5","Culvan-4",42.442998,NA,104,NA,142.912621359223,NA,0.505013475232661
