"Pop","Date","Time","Plant_ID","Loc","Year","L_area","L_weight","Trichomes","Conc","herb_p","Leaves","fl_m","fl_h","Height","SLA"
"N2",2022-06-17,"2022","N2 - Plant 11","Field","2022",1.586,0.01,184,0.5981332915187,0.05,NA,NA,NA,24,158.6
"N3",2022-06-17,"2022","N3 - Plant 1","Field","2022",0.801,0.0059,92,0.624451501076872,0,NA,NA,NA,34,135.762711864407
"N3",2022-06-17,"2022","N3 - Plant 2","Field","2022",3.171,0.0238,132,0.413978397042194,0,NA,NA,NA,37,133.235294117647
"N3",2022-06-17,"2022","N3 - Plant 3","Field","2022",1.835,0.0078,95,0.534665610574235,0,NA,NA,NA,36,235.25641025641
"N3",2022-06-17,"2022","N3 - Plant 4","Field","2022",0.965,0.0054,133,0.575037486000272,0,NA,NA,NA,32,178.703703703704
"N3",2022-06-17,"2022","N3 - Plant 5","Field","2022",2.185,0.0141,115,0.596088546544349,0,NA,NA,NA,40,154.964539007092
"N3",2022-06-17,"2022","N3 - Plant 6","Field","2022",1.505,0.0106,141,0.618923294001148,0.02,NA,NA,NA,36,141.981132075472
"N3",2022-06-17,"2022","N3 - Plant 7","Field","2022",0.94,0.0059,108,0.941749198404018,0,NA,NA,NA,20,159.322033898305
"N4",2022-06-17,"2022","N4 - Plant 1","Field","2022",2.475,0.014,98,0.158623919972274,0.01,NA,NA,NA,16,176.785714285714
"N4",2022-06-17,"2022","N4 - Plant 2","Field","2022",2.264,0.0172,74,0.418345153854098,0.01,NA,NA,NA,24,131.627906976744
"N4",2022-06-17,"2022","N4 - Plant 3","Field","2022",2.94,0.0183,99,0.202136729812794,0,NA,NA,NA,28,160.655737704918
"N4",2022-06-17,"2022","N4 - Plant 4","Field","2022",1.775,0.0185,109,0.255820967275113,0.01,NA,NA,NA,27,95.945945945946
"N4",2022-06-17,"2022","N4 - Plant 5","Field","2022",2.317,0.0178,135,0.9141637407018,0.3,NA,NA,NA,41,130.168539325843
"N4",2022-06-17,"2022","N4 - Plant 6","Field","2022",2.063,0.0151,162,0.628654781642041,0.01,NA,NA,NA,25,136.622516556291
"N4",2022-06-17,"2022","N4 - Plant 7","Field","2022",2.752,0.0231,170,0.590087598489392,0,NA,NA,NA,29,119.134199134199
"N5",2022-08-10,"2022","Culvan-1","Field","2022",0.887,0.0067,164,0.905289996219649,0.02,NA,NA,NA,30,132.388059701493
"N5",2022-06-17,"2022","N5 - Plant 1","Field","2022",1.888,0.0147,132,0.182654066640479,0.01,NA,NA,NA,18,128.43537414966
"N5",2022-08-10,"2022","Culvan-2","Field","2022",1.04,0.0069,144,0.761171963239268,0.04,NA,NA,NA,43,150.724637681159
"N5",2022-08-10,"2022","Culvan-3","Field","2022",1.69,0.0127,124,0.60472975596236,0.05,NA,NA,NA,65,133.070866141732
"N5",2022-06-17,"2022","N5 - Plant 3","Field","2022",1.898,0.0136,167,0.36414321891531,0.01,NA,NA,NA,22,139.558823529412
"N5",2022-08-10,"2022","Culvan-4","Field","2022",1.472,0.0103,104,0.505013475232661,0.03,NA,NA,NA,40,142.912621359223
"N5",2022-06-17,"2022","N5 - Plant 4","Field","2022",2.461,0.0254,240,0.890219497062919,0.1,NA,NA,NA,20,96.8897637795276
