Well,Sample,Abs,Plate,Rep
B03,259,0.3679,2,2
G05,259,0.3182,2,3
H05,259,0.3302,2,4
E03,261,0.3642,1,1
F03,261,0.3601,1,2
G03,261,0.364,1,3
H03,261,0.3764,1,4
C03,263,0.3569,2,1
D03,263,0.361,2,2
E01,263,0.3269,2,3
F01,263,0.3268,2,4
C04,265,0.3501,2,1
D04,265,0.3326,2,2
E02,265,0.3128,2,3
F02,265,0.2181,2,4
A04,267,0.4013,2,1
B04,267,0.3555,2,2
E03,267,0.3142,2,3
F03,267,0.3204,2,4
C05,269,0.2619,2,1
D05,269,0.3404,2,2
G06,269,0.3168,2,3
H06,269,0.3241,2,4
A05,271,0.3683,2,1
B05,271,0.3199,2,2
E04,271,0.3303,2,3
F04,271,0.3079,2,4
A08,273,0.33,2,1
B01,273,0.3103,2,2
C01,273,0.3057,2,3
D01,273,0.3084,2,4
E04,275,0.3938,1,1
F04,275,0.3822,1,2
G04,275,0.4061,1,3
H04,275,0.3939,1,4
A07,277,0.3316,2,1
B02,277,0.3164,2,2
C02,277,0.2542,2,3
D02,277,0.3234,2,4
A05,279,0.3519,2,1
B03,279,0.3493,2,2
C03,279,0.3459,2,3
D03,279,0.348,2,4
A02,281,0.4741,1,1
B02,281,0.4595,1,2
C02,281,0.3922,1,3
D02,281,0.4732,1,4
A06,283,0.3421,2,1
B06,283,0.355,2,2
G07,283,0.3243,2,3
H07,283,0.3209,2,4
E04,285,0.3794,1,1
F04,285,0.3728,1,2
G04,285,0.3757,1,3
H04,285,0.3662,1,4
A09,287,0.3228,2,1
B04,287,0.3497,2,2
C04,287,0.3094,2,3
D04,287,0.3169,2,4
A07,289,0.3328,2,1
B07,289,0.3697,2,2
E05,289,0.3475,2,3
F05,289,0.302,2,4
C06,291,0.3448,2,1
D06,291,0.3429,2,2
E06,291,0.3358,2,3
F06,291,0.321,2,4
A08,293,0.3425,2,1
B08,293,0.3882,2,2
E07,293,0.3001,2,3
F07,293,0.332,2,4
A06,295,0.3618,2,1
B05,295,0.3588,2,2
C05,295,0.2429,2,3
D05,295,0.3366,2,4
A09,297,0.7324,1,1
B09,297,0.6479,1,2
C09,297,0.613,1,3
D09,297,0.6408,1,4
A03,299,0.4953,1,1
B03,299,0.4701,1,2
C03,299,0.4232,1,3
D03,299,0.4545,1,4
E10,301,0.4978,2,1
F10,301,0.5014,2,2
G10,301,0.4717,2,3
H10,301,0.4825,2,4
A10,303,0.4623,2,1
B10,303,0.4736,2,2
C10,303,0.463,2,3
D10,303,0.4519,2,4
C07,305,0.357,2,1
D07,305,0.3408,2,2
E08,305,0.3258,2,3
F08,305,0.3073,2,4
A09,307,0.3354,2,1
B09,307,0.3566,2,2
G08,307,0.3166,2,3
H08,307,0.3511,2,4
C08,309,0.2815,2,1
D08,309,0.3421,2,2
E09,309,0.3157,2,3
F09,309,0.3118,2,4
A12,311,0.3465,2,1
B06,311,0.3338,2,2
C06,311,0.3254,2,3
D06,311,0.3122,2,4
C09,313,0.3345,2,1
D09,313,0.3426,2,2
G09,313,0.2961,2,3
H09,313,0.3248,2,4
A10,315,0.3329,2,1
B10,315,0.3168,2,2
G10,315,0.3154,2,3
H10,315,0.3105,2,4
A04,317,0.3269,2,1
B07,317,0.3286,2,2
C07,317,0.3249,2,3
D07,317,0.3091,2,4
C10,319,0.3415,2,1
D10,319,0.3448,2,2
E10,319,0.3284,2,3
F10,319,0.3202,2,4
A10,321,0.3402,2,1
B08,321,0.3421,2,2
C08,321,0.2514,2,3
D08,321,0.3173,2,4
A06,323,0.3508,2,1
B05,323,0.3476,2,2
G03,323,0.3729,1,3
H03,323,0.3788,1,4
A11,325,0.351,2,1
B09,325,0.3478,2,2
C09,325,0.3638,2,3
D09,325,0.3669,2,4
A04,327,0.3699,2,1
B06,327,0.3607,2,2
A06,329,0.5492,2,1
B06,329,0.4841,2,2
C06,329,0.4544,2,3
D06,329,0.4578,2,4
E08,331,0.3961,2,1
F08,331,0.4032,2,2
