Pop,Plant_ID,Rep,Date,Trichomes_b1,Spines_b1,L_area_b1,L_weight_b1,Trichomes_b2,Spines_b2,L_area_b2,L_weight_b2,Trichomes_t1,Spines_t1,L_area_t1,L_weight_t1,Trichomes_t2,Spines_t2,L_area_t2,L_weight_t2
I1,3,B,8/17/2023,75,0,0.6,0.0017,30,4,0.518,0.0035,64,0,0.69,0.0029,50,0,0.605,0.0023
I1,4,B,8/17/2023,108,13,1.543,0.0094,132,13,1.568,0.0092,210,7,0.547,0.0027,216,8,0.713,0.0036
I1,5,A,8/17/2023,64,12,1.191,0.0039,60,17,1.882,0.0063,78,3,0.596,0.0023,105,15,0.585,0.0037
I1,5,B,8/17/2023,53,5,1.161,0.0077,54,5,1.372,0.0077,240,6,0.412,0.0017,3,11,0.482,0.0036
I1,6,A,8/17/2023,23,2,1.074,0.0039,100,6,1.324,0.0083,79,9,1.184,0.0071,15,4,1.159,0.0069
I2,1,A,8/17/2023,90,8,1.025,0.0075,87,8,1.417,0.0128,100,7,0.883,0.0041,75,7,1.097,0.006
I2,1,B,8/17/2023,31,1,0.832,0.0047,64,9,0.711,0.0051,175,7,1.139,0.0039,160,5,1.08,0.004
I2,2,A,8/17/2023,56,1,0.0535,0.0023,85,13,1.416,0.0054,132,9,1.752,0.0103,148,4,1.061,0.0069
I2,5,B,8/17/2023,,,,,,,,,,,,,,,,
I2,7,B,8/17/2023,152,10,1.242,0.0065,75,7,0.769,0.0037,125,7,0.793,0.0037,128,9,0.929,0.0055
I3,2,C,8/17/2023,105,16,2.318,0.0123,112,12,1.414,0.007,84,4,1.627,0.0083,119,12,0.976,0.0049
I3,3,C,8/17/2023,103,22,1.137,0.0055,85,1,1.058,0.0054,114,23,1.191,0.0067,125,32,1.01,0.0053
I3,4,A,8/17/2023,89,13,1.313,0.0076,72,14,1.494,0.0075,75,12,0.887,0.0047,109,9,0.681,0.0038
I3,4,B,8/17/2023,155,14,0.888,0.0053,125,14,1.657,0.011,121,14,0.894,0.0057,120,31,1.893,0.01
I3,5,C,8/17/2023,128,21,1.26,0.0069,105,13,1.116,0.007,28,26,2.287,0.0104,39,20,1.07,0.0061
I3,6,C,8/17/2023,120,9,0.801,0.0037,66,4,1.018,0.006,131,21,1.113,0.0066,148,22,1.119,0.0056
I3,6,D,8/17/2023,125,9,0.472,0.003,105,9,0.437,0.0023,112,11,0.815,0.0045,115,8,0.43,0.0017
ICH,1,A,8/17/2023,120,13,1.573,0.0118,150,15,0.915,0.0063,236,11,0.937,0.0057,264,9,1.492,0.0096
ICH,1,B,8/17/2023,140,12,0.767,0.0034,122,16,0.981,0.0032,160,11,0.914,0.0054,140,19,2.03,0.0103
ICH,3,A,8/17/2023,88,15,1.094,0.0068,,,,,120,9,0.556,0.0046,,,,
ICH,5,A,8/17/2023,124,9,0.716,0.0043,64,6,0.58,0.0029,240,7,1.408,0.0062,125,11,0.596,0.0059
ICH,6,A,8/17/2023,125,7,0.753,0.0044,96,5,0.907,0.0056,160,13,0.836,0.0054,150,11,1.177,0.0058
MOR,1,B,8/17/2023,,,,,,,,,320,6,0.408,0.0024,131,8,0.487,0.0027
MOR,1,C,8/17/2023,88,17,1.487,0.0068,95,14,1.359,0.0083,148,9,1.974,0.0097,125,13,1.355,0.0075
MOR,1,D,8/17/2023,150,3,0.807,0.0042,130,2,1.042,0.005,128,12,0.754,0.0039,136,18,1.199,0.0066
MOR,2,A,8/17/2023,,,,,,,,,,,,,,,,
MOR,2,B,8/17/2023,105,21,1.575,0.0086,144,16,2.247,0.0136,125,19,1.28,0.0078,175,18,1.565,0.0096
MOR,4,C,8/17/2023,72,18,1.373,0.0062,104,23,1.506,0.0079,200,18,1.046,0.007,150,15,2.088,0.0147
MOR,4,D,8/17/2023,,,,,,,,,,,,,,,,
MOR,4,E,8/17/2023,100,7,1.67,0.0083,80,13,1.564,0.0072,125,15,0.8,0.0047,108,21,1.174,0.0083
MOR,4,F,8/17/2023,140,16,1.431,0.0084,160,22,1.532,0.0094,120,21,1.036,0.0065,42,20,1.182,0.0069
MOR,6,A,8/17/2023,125,16,1.345,0.0069,110,15,1.881,0.009,57,7,0.712,0.0044,160,21,1.448,0.0105
MOR,6,C,8/17/2023,136,15,1.239,0.0079,110,12,1.123,0.0061,124,11,0.885,0.0057,114,11,1.336,0.0081
MOR,6,D,8/17/2023,69,21,1.726,0.0088,128,21,1.657,0.0091,160,25,1.052,0.008,188,23,1.429,0.0103
N2,4,A,8/17/2023,67,9,1.402,0.0047,105,16,1.617,0.0092,136,2,0.741,0.0045,93,1,0.89,0.0041
N2,5,A,8/17/2023,61,2,2.199,0.0156,48,6,0.951,0.0073,95,16,1.317,0.0097,80,10,1.61,0.0117
N2,5,B,8/17/2023,86,1,0.891,0.0048,62,6,1.356,0.0086,36,8,0.77,0.0048,43,14,1.689,0.0114
N2,5,C,8/17/2023,77,11,0.763,0.005,58,2,1.428,0.007,115,11,0.654,0.0043,84,13,0.617,0.0034
N2,5,D,8/17/2023,85,3,0.838,0.0043,96,12,0.602,0.0047,99,10,0.719,0.0042,118,7,1.207,0.0064
N2,5,E,8/17/2023,72,12,1.559,0.0055,65,15,1.599,0.0114,130,11,0.531,0.003,132,16,0.739,0.0042
N2,6,A,8/17/2023,49,7,1.233,0.0077,74,3,0.982,0.0057,45,5,0.662,0.0036,51,7,1.546,0.0083
N2,6,B,8/17/2023,68,8,1.3,0.0099,65,9,0.583,0.0038,113,6,0.602,0.0039,63,11,0.563,0.0036
N5,3,D,8/17/2023,43,10,1.645,0.0075,109,3,0.935,0.0056,144,8,0.726,0.004,150,7,1.082,0.0063
N5,3,E,8/17/2023,,,,,,,,,,,,,,,,
N5,3,F,8/17/2023,74,7,1.084,0.0067,66,1,1.11,0.0069,95,3,1.408,0.0068,113,4,1.147,0.0071
