Plant_abr,Pop,Date,Plant_ID,Height,Leaves,Epitrix_herb,Chew_herb,Mining_herb,Epitrix,Spider_Mite,Leptinotarsa,Torti_Beetle,Black_weevils,Stem_dens,Spodoptera,Leafhopper,Mealybug,Trichomes,Spines,Leaf_Area,Leaf_Weight
COO-15,COO,6/8/2023,15,49,8,7,0.1,0,2,0,0,0,0,28,0,0,0,160,8,1.58,0.0083
COO-16,COO,6/8/2023,16,32,6,11,3,0,1,0,0,0,0,16,0,0,0,172,8,1.543,0.0066
COO-17,COO,6/8/2023,17,35,7,14,1,0,1,0,0,0,0,20,0,0,0,176,9,1.433,0.0077
COO-18,COO,6/8/2023,18,24,5,12,1,0,0,0,0,0,0,20,0,0,0,84,7,1.006,0.0039
COO-19,COO,6/8/2023,19,32,9,12,0,0,1,0,0,0,0,16,0,0,0,116,11,1.218,0.005
COO-20,COO,6/8/2023,20,30,7,22,4,0,0,0,0,0,0,8,0,0,0,124,18,1.165,0.006
COO-21,COO,6/8/2023,21,50,10,10,3,0,0,0,0,0,0,8,0,0,0,152,27,1.37,0.0079
COO-22,COO,6/8/2023,22,44,13,13,6,0,2,0,0,1,2,16,0,0,0,144,12,0.792,0.0039
COO-23,COO,6/8/2023,23,27,5,20,7,0,0,0,0,0,0,4,0,0,0,160,14,1.399,0.0071
COO-24,COO,6/8/2023,24,40,8,40,6,0,2,0,0,1,1,8,0,0,0,156,6,0.987,0.0062
COO-25,COO,6/8/2023,25,46,6,10,2,0,1,0,0,0,0,12,0,0,0,216,4,1.62,0.011
COO-26,COO,6/8/2023,26,21,14,12,1,0,2,0,0,0,0,28,0,0,0,132,7,1.77,0.0087
COO-27,COO,6/8/2023,27,25,9,11,0,0,3,0,0,0,0,52,0,0,0,192,11,1.481,0.0075
COO-28,COO,6/8/2023,28,49,8,22,5,0,3,0,0,0,0,16,0,0,0,116,8,0.895,0.0046
COO-29,COO,6/8/2023,29,38,8,14,6,0,0,0,0,0,0,16,0,0,0,112,8,1.658,0.0092
COO-30,COO,6/8/2023,30,59,9,13,10,0,4,0,0,0,0,12,0,0,0,148,6,3.031,0.0166
DUDU-1,DUDU,6/12/2023,1,38,7,0,0,0,0,0,0,0,0,,0,0,0,108,8,1.722,0.0111
DUDU-2,DUDU,6/12/2023,2,34,36,0,0.1,0,0,0,0,0,0,,0,0,0,100,9,1.871,0.0119
DUDU-3,DUDU,6/12/2023,3,30,6,0,0,0,0,0,0,0,0,,0,0,0,128,10,1.03,0.0054
DUDU-4,DUDU,6/12/2023,4,34,42,0,0,0,0,0,0,0,0,,0,0,0,108,10,1.263,0.0088
DUDU-5,DUDU,6/12/2023,5,41,9,0,0,0,0,0,0,0,0,,0,0,0,72,11,2.218,0.0109
DUDU-6,DUDU,6/12/2023,6,21,15,0,1,0,0,0,0,0,0,,0,0,0,116,11,1.954,0.0141
DUDU-7,DUDU,6/12/2023,7,30,11,0,1,0,0,0,0,0,0,,0,0,0,124,6,1.247,0.0064
DUDU-8,DUDU,6/12/2023,8,28,13,0,0,0,0,0,0,0,0,,0,0,0,68,14,1.871,0.0119
DUDU-9,DUDU,6/12/2023,9,43,16,0,0,0,0,0,0,0,0,,0,0,0,112,12,1.803,0.0094
DUDU-10,DUDU,6/12/2023,10,30,17,0,2,0,0,0,0,0,0,,0,0,0,64,6,0.829,0.004
DUDU-11,DUDU,6/12/2023,11,39,28,0,0.5,0,0,0,0,0,0,,0,0,0,104,14,1.724,0.01
