"","Pop","Year","image_date","NPP_g"
"384","BR",2024,2024-07-11,0.0243
"385","BR",2024,2024-07-19,0.0210833333333333
"386","BR",2024,2024-07-27,0.0219
"387","BR",2025,2025-05-01,0.02982
"388","BR",2025,2025-05-09,0.0327
"389","BR",2025,2025-05-17,0.0143777777777778
"390","BR",2025,2025-05-25,0.02377
"391","BR",2025,2025-06-02,0.0181166666666667
"392","BR",2025,2025-06-10,0.0229157894736842
"393","BR",2025,2025-06-18,0.0217818181818182
"394","BR",2025,2025-07-04,0.0244818181818182
"395","BR",2025,2025-07-12,0.01873
"396","BR",2025,2025-07-20,0.0150555555555556
"397","BR",2025,2025-07-28,0.0123666666666667
"398","CAH",2013,2013-05-01,0.031775
"399","CAH",2013,2013-05-09,0.0473416666666667
"400","CAH",2013,2013-05-17,0.0454846153846154
"401","CAH",2013,2013-05-25,0.04305
"402","CAH",2013,2013-06-10,0.0352666666666667
"403","CAH",2013,2013-06-18,0.0320857142857143
"404","CAH",2013,2013-06-26,0.0251
"405","CAH",2013,2013-07-04,0.0162166666666667
"406","CAH",2013,2013-07-12,0.035175
"407","CAH",2013,2013-07-20,0.0386
"408","CAH",2013,2013-07-28,0.0308
"409","CAH",2014,2014-05-01,0.0623153846153846
"410","CAH",2014,2014-05-17,0.0488444444444444
"411","CAH",2014,2014-05-25,0.0285846153846154
"412","CAH",2014,2014-06-02,0.029
"413","CAH",2014,2014-06-10,0.0312142857142857
"414","CAH",2014,2014-06-18,0.0222166666666667
"415","CAH",2014,2014-06-26,0.02197
"416","CAH",2014,2014-07-04,0.0311857142857143
"417","CAH",2014,2014-07-12,0.0240857142857143
"418","CAH",2014,2014-07-28,0.0287333333333333
"419","CAH",2015,2015-05-01,0.05285
"420","CAH",2015,2015-05-09,0.028
"421","CAH",2015,2015-05-17,0.0505
"422","CAH",2015,2015-06-10,0.0252
"423","CAH",2015,2015-06-18,0.0171875
"424","CAH",2015,2015-06-26,0.0205375
"425","CAH",2015,2015-07-04,0.02042
"426","CAH",2015,2015-07-12,0.0044
"427","CAH",2015,2015-07-20,0.00666666666666667
"428","CAH",2015,2015-07-28,0.00517142857142857
"429","CAH",2016,2016-05-08,0.0494875
"430","CAH",2016,2016-05-16,0.0519
"431","CAH",2016,2016-05-24,0.0365875
"432","CAH",2016,2016-06-01,0.02995
"433","CAH",2016,2016-06-09,0.019425
"434","CAH",2016,2016-06-17,0.012975
"435","CAH",2016,2016-06-25,-0.00245
"436","CAH",2016,2016-07-11,0.00696666666666667
"437","CAH",2016,2016-07-19,-0.00704444444444444
"438","CAH",2016,2016-07-27,0.00268571428571429
"439","CAH",2017,2017-05-01,0.0465857142857143
"440","CAH",2017,2017-05-09,0.04189
"441","CAH",2017,2017-05-17,0.02282
"442","CAH",2017,2017-05-25,0.0353714285714286
"443","CAH",2017,2017-06-02,0.0262
"444","CAH",2017,2017-06-10,0.0363733333333333
"445","CAH",2017,2017-06-26,0.0389785714285714
"446","CAH",2017,2017-07-04,0.02468
"447","CAH",2017,2017-07-12,0.0201142857142857
"448","CAH",2017,2017-07-20,0.01178
"449","CAH",2018,2018-05-01,0.0416615384615385
"450","CAH",2018,2018-05-09,0.027975
"451","CAH",2018,2018-05-17,0.0278142857142857
"452","CAH",2018,2018-05-25,0.0185
"453","CAH",2018,2018-06-02,0.0313692307692308
"454","CAH",2018,2018-06-10,0.04055
"455","CAH",2018,2018-06-18,0.0225363636363636
"456","CAH",2018,2018-06-26,0.0219125
"457","CAH",2018,2018-07-04,0.0302
"458","CAH",2018,2018-07-12,0.0201666666666667
