Pop,Date,Time,Plant_ID,Loc,Year,L_area,L_weight,Trichomes,Conc,herb_p,Leaves,Height,SLA
DUDU,6/6/2022,2022,Plant4_Pop Dudu,Field,2022,2.203,0.0139,109,0.817630338,0,NA,26,158.4892086
DUDU,6/6/2022,2022,Plant5_Pop Dudu,Field,2022,4.194,0.0406,86,0.235182868,0.01,NA,30,103.3004926
DUDU,6/6/2022,2022,Plant6_Pop Dudu,Field,2022,2.726,0.0178,85,0.27837201,0.02,NA,27,153.1460674
ARB,6/17/2022,2022,Plant-4-Arb,Field,2022,4.782,0.0444,95,0.536588104,0.1,NA,35,107.7027027
ARB,6/17/2022,2022,Plant-6-Arb,Field,2022,4.664,0.0455,89,0.198393744,0.1,NA,27,102.5054945
ARB,6/17/2022,2022,Plant-7-Arb,Field,2022,2.036,0.0161,88,0.868106659,0.1,NA,25,126.4596273
ARB,6/17/2022,2022,Plant-8-Arb,Field,2022,1.841,0.0174,238,0.500184298,0.15,NA,25,105.8045977
ARB,6/17/2022,2022,Plant-12-Arb,Field,2022,5.748,0.454,153,0.468604239,0.3,NA,45,12.66079295
ARB,6/17/2022,2022,Plant-15-Arb,Field,2022,6.24,0.0665,113,0.342552267,0.15,NA,34,93.83458647
PS,6/15/2022,2022,PS1,Field,2022,4.751,0.039,122,0.614487951,0.02,NA,31,121.8205128
PS,6/15/2022,2022,PS2,Field,2022,3.599,0.0315,117,0.803746476,0.02,NA,32,114.2539683
