"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"ARB",2023-05-31,"ARB-8A","Garden","Early","2023",1.05775,0.003575,73.5,0.675385018351943,0.01,NA,NA,6,6,295.874125874126
"ARB",2023-06-20,"ARB-8A","Garden","Mid","2023",1.05775,0.003575,73.5,0.675385018351943,0.15,0,0,NA,NA,295.874125874126
"ARB",2023-06-29,"ARB-8A","Garden","Mid","2023",1.05775,0.003575,73.5,0.675385018351943,0.35,NA,NA,19,17,295.874125874126
"ARB",2023-07-03,"ARB-8A","Garden","Mid","2023",1.05775,0.003575,73.5,0.675385018351943,0.3,NA,NA,NA,NA,295.874125874126
"ARB",2023-07-10,"ARB-8A","Garden","Mid","2023",1.05775,0.003575,73.5,0.675385018351943,0.3,NA,NA,NA,NA,295.874125874126
"ARB",2023-07-17,"ARB-8A","Garden","Late","2023",1.05775,0.003575,73.5,0.675385018351943,0.38,NA,NA,32,23,295.874125874126
"ARB",2023-07-28,"ARB-8A","Garden","Late","2023",1.05775,0.003575,73.5,0.675385018351943,0.7,NA,NA,NA,NA,295.874125874126
"ARB",2023-08-03,"ARB-8A","Garden","Late","2023",1.05775,0.003575,73.5,0.675385018351943,0.4,NA,NA,47,22,295.874125874126
"ARB",2023-08-07,"ARB-8A","Garden","Late","2023",1.05775,0.003575,73.5,0.675385018351943,0.15,NA,NA,NA,NA,295.874125874126
"ARB",2023-08-15,"ARB-8A","Garden","Late","2023",1.05775,0.003575,73.5,0.675385018351943,0.25,NA,NA,NA,NA,295.874125874126
"BR",2023-05-31,"BR-1E","Garden","Early","2023",1.21925,0.007575,152.25,0.245729552755046,0.01,NA,NA,9,16,160.957095709571
"BR",2023-06-05,"BR-1E","Garden","Early","2023",1.21925,0.007575,152.25,0.245729552755046,0.01,NA,NA,NA,NA,160.957095709571
"BR",2023-06-20,"BR-1E","Garden","Mid","2023",1.21925,0.007575,152.25,0.245729552755046,0.05,0,0,NA,NA,160.957095709571
