Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
DUDU-8,DUDU,6/12/23,28,13,fl,0,2,0,8,0,0,0,,68,1.871,0.0119,
DUDU-9,DUDU,6/12/23,43,16,fl,1,0,0,5,0,0,0,,112,1.803,0.0094,
DUDU-10,DUDU,6/12/23,30,17,fl,0,3,0,10,0,2,0,,64,0.829,0.004,
DUDU-11,DUDU,6/12/23,39,28,fr,0,2,0,12,0,0.5,0,,104,1.724,0.01,
DUDU-12,DUDU,6/12/23,30,7,fl,0,2,0,11,0,4,0,,92,1.857,0.0113,
DUDU-13,DUDU,6/12/23,38,32,fl,0,8,0,23,0,0.1,0,,136,1.514,0.008,
DUDU-14,DUDU,6/12/23,47,30,fl,1,3,0,11,0,0.2,0,,92,2.223,0.0098,
DUDU-15,DUDU,6/12/23,27,5,fl,0,2,0,5,0,0,0,,132,1.355,0.0061,
DUDU-16,DUDU,6/12/23,42,18,fl,1,8,0,23,0,0,0,,116,2.323,0.0186,
DUDU-17,DUDU,6/12/23,43,23,fl,0,1,0,4,0,0,0,,92,1.812,0.0142,
DUDU-18,DUDU,6/12/23,23,34,fl,0,5,0,9,0,0,0,,136,1.213,0.0052,
DUDU-19,DUDU,6/12/23,37,22,fl,3,4,0,12,0,1,0,,80,1.905,0.0115,
DUDU-20,DUDU,6/12/23,26,11,fr,0,2,0,2,0,4,0,,72,2.501,0.0089,
DUDU-21,DUDU,6/12/23,41,21,fl,1,3,0,13,0,1,0,,124,1.59,0.0079,
DUDU-22,DUDU,6/12/23,30,13,fl,0,4,0,8,0,0,0,,88,1.313,0.0066,
DUDU-23,DUDU,6/12/23,26,12,fl,1,3,0,6,0,0,0,,100,0.815,0.004,
DUDU-24,DUDU,6/12/23,40,10,fl,0,2,0,6,0,0,0,,112,1.899,0.008,
SUW-1,SUW,6/14/23,39,13,fl,0,2,0,4,0,1.5,0,8,112,1.483,0.0059,S. c. floridanum; expect irregularly-shaped leaves.
SUW-2,SUW,6/14/23,54,19,fl,0,3,0,5,0,3,0,20,128,1.564,0.0061,
