Date,Region,Pop,Plant_ID,Height,Herbivory,Phenology,Fl_herm,Fl_male,Buds,L_area,L_weight,Trichomes,Spines,Roots,Pop_area,Plant_cover,Latitude,Longitude,Collect_Label
Oct-15-2022,Mid,6,7,52,4,Fl,3,0,0,2.399,0.0106,131,9,Yes,40,7,35.126792,-85.220253,Hix-7
Oct-15-2022,Mid,6,8,98,8,V,0,0,0,2.003,0.0082,126,8,No,40,7,35.126792,-85.220253,Hix-8
Oct-15-2022,Mid,6,9,52,3,V,0,0,0,1.969,0.0121,153,12,No,40,7,35.126792,-85.220253,Hix-9
Oct-15-2022,Mid,6,10,85,2,Fl,0,0,0,2.605,0.0152,126,10,No,40,7,35.126792,-85.220253,Hix-10
Oct-10-2022,Mid,7,1,44,1,V,0,0,0,2.617,0.0211,70,6,Yes,30,3,34.463827,-84.916271,Col-1
Oct-10-2022,Mid,7,2,65,5,Fr,0,0,0,1.892,0.0164,153,12,Yes,30,3,34.463827,-84.916271,Col-2
Oct-10-2022,Mid,7,3,68,7,V,0,0,0,2.141,0.0129,111,6,No,30,3,34.463827,-84.916271,Col-3
Oct-10-2022,Mid,7,4,54,15,V,0,0,0,2.255,0.0196,140,7,No,30,3,34.463827,-84.916271,Col-4
Oct-10-2022,Mid,7,5,25,20,V,0,0,0,1.488,0.0095,64,5,Yes,30,3,34.463827,-84.916271,Col-5
Oct-10-2022,Mid,7,6,46,20,V,0,0,0,1.827,0.0149,148,7,No,30,3,34.463827,-84.916271,Col-6
Oct-15-2022,Mid,8,1,56,10,V,0,0,0,1.437,0.0076,111,10,Yes,30,10,33.805162,-84.35617,Mor-1
Oct-15-2022,Mid,8,2,88,10,Fl,0,0,0,1.398,0.0042,272,5,Yes,30,10,33.805162,-84.35617,Mor-2
Oct-15-2022,Mid,8,3,24,15,V,0,0,0,1.194,0.0075,172,7,No,30,10,33.805162,-84.35617,Mor-3
Oct-15-2022,Mid,8,4,47,8,Fl,0,0,0,2.091,0.0092,131,15,Yes,30,10,33.805162,-84.35617,Mor-4
Oct-15-2022,Mid,8,5,40,5,V,0,0,0,1.698,0.0055,119,5,No,30,10,33.805162,-84.35617,Mor-5
Oct-15-2022,Mid,8,6,90,3,Fl,0,0,0,2.587,0.0107,125,8,Yes,30,10,33.805162,-84.35617,Mor-6
Oct-15-2022,Mid,8,7,105,4,Fl,0,0,0,2.169,0.0099,91,8,No,30,10,33.805162,-84.35617,Mor-7
Oct-15-2022,Mid,8,8,60,3,V,0,0,0,2.653,0.011,79,10,Yes,30,10,33.805162,-84.35617,Mor-8
Oct-15-2022,Mid,8,9,45,2,Fl,0,0,0,1.982,0.0107,120,12,Yes,30,10,33.805162,-84.35617,Mor-9
Oct-15-2022,Mid,8,10,54,3,Fl,0,0,0,2.21,0.0095,191,14,No,30,10,33.805162,-84.35617,Mor-10
Oct-15-2022,Mid,8,11,80,15,V,0,0,0,4.053,0.022,123,11,No,30,10,33.805162,-84.35617,Mor-11
June-17-2022,North,1,1,30,0,V,0,0,0,1.215,0.0087,228,2,Yes,100,1,41.060078,-87.426522,N1 - Plant 1
June-17-2022,North,1,2,22,0.5,V,0,0,0,1.917,0.0122,139,1,Yes,100,1,41.060078,-87.426522,N1 - Plant 2
June-17-2022,North,1,3,33,0,V,0,0,0,1.941,0.0163,83,7,Yes,100,1,41.060078,-87.426522,N1 - Plant 3
June-17-2024,North,1,4,32,0,V,0,0,0,1.179,0.0081,77,0,Yes,100,1,41.060078,-87.426522,N1 - Plant 4
June-17-2022,North,1,5,39,1,V,0,0,0,1.377,0.0087,134,5,Yes,100,1,41.060078,-87.426522,N1 - Plant 5
June-17-2022,North,1,6,30,0,V,0,0,0,1.469,0.0113,98,4,Yes,100,1,41.060078,-87.426522,N1 - Plant 6
June-17-2022,North,1,7,15,0,V,0,0,0,0.986,0.0065,81,0,No,100,1,41.060078,-87.426522,N1 - Plant 7
June-17-2022,North,1,8,10,0,V,0,0,0,0.788,0.0063,128,7,No,100,1,41.060078,-87.426522,N1 - Plant 8
June-17-2029,North,1,9,23,40,V,0,0,0,1.141,0.0075,78,0,No,100,1,41.060078,-87.426522,N1 - Plant 9
June-17-2022,North,1,10,26,2,V,0,0,0,1.748,0.0182,243,18,No,100,1,41.060078,-87.426522,N1 - Plant 10
June-17-2022,North,1,11,18,3,V,0,0,0,2.858,0.0251,345,14,No,100,1,41.060078,-87.426522,N1 - Plant 11
June-17-2022,North,2,1,21,10,V,0,0,0,1.729,0.0065,81,0,Yes,20,1,41.379564,-88.122514,N2 - Plant 1
June-17-2022,North,2,2,34,40,V,0,0,0,2.056,0.0135,82,16,Yes,20,1,41.379564,-88.122514,N2 - Plant 2
June-17-2022,North,2,3,36,5,V,0,0,0,1.308,0.0067,93,7,Yes,20,1,41.379564,-88.122514,N2 - Plant 3
June-17-2022,North,2,4,35,3,V,0,0,0,4.815,0.0248,139,9,Yes,20,1,41.379564,-88.122514,N2 - Plant 4
June-17-2022,North,2,5,28,2,V,0,0,0,3.432,0.0239,187,14,Yes,20,1,41.379564,-88.122514,N2 - Plant 5
June-17-2022,North,2,6,30,10,V,0,0,0,1.614,0.0075,100,3,Yes,20,1,41.379564,-88.122514,N2 - Plant 6
June-17-2022,North,2,7,29,5,V,0,0,0,1.742,0.0094,188,15,No,20,1,41.379564,-88.122514,N2 - Plant 7
June-17-2022,North,2,8,24,10,V,0,0,0,1.951,0.0101,107,2,No,20,1,41.379564,-88.122514,N2 - Plant 8
June-17-2022,North,2,9,18,3,V,0,0,0,2.854,0.135,83,1,No,20,1,41.379564,-88.122514,N2 - Plant 9
June-17-2022,North,2,10,24,7,V,0,0,0,1.409,0.008,112,14,No,20,1,41.379564,-88.122514,N2 - Plant 10
June-17-2022,North,2,11,24,5,V,0,0,0,1.586,0.01,184,10,No,20,1,41.379564,-88.122514,N2 - Plant 11
June-17-2022,North,3,1,34,0,V,0,0,0,0.801,0.0059,92,9,Yes,10,1,42.960777,-89.675364,N3 - Plant 1
June-17-2022,North,3,2,37,0,V,0,0,0,3.171,0.0238,132,6,Yes,10,1,42.960777,-89.675364,N3 - Plant 2
June-17-2022,North,3,3,36,0,V,0,0,0,1.835,0.0078,95,1,Yes,10,1,42.960777,-89.675364,N3 - Plant 3
June-17-2022,North,3,4,32,0,V,0,0,0,0.965,0.0054,133,2,Yes,10,1,42.960777,-89.675364,N3 - Plant 4
June-17-2022,North,3,5,40,0,V,0,0,0,2.185,0.0141,115,4,Yes,10,1,42.960777,-89.675364,N3 - Plant 5
June-17-2022,North,3,6,36,2,V,0,0,0,1.505,0.0106,141,4,Yes,10,1,42.960777,-89.675364,N3 - Plant 6
June-17-2022,North,3,7,20,0,V,0,0,0,0.94,0.0059,108,1,No,10,1,42.960777,-89.675364,N3 - Plant 7
June-17-2022,North,4,1,16,1,V,0,0,0,2.475,0.014,98,11,Yes,30,1,42.950489,-89.869416,N4 - Plant 1
June-17-2022,North,4,2,24,1,B,0,0,0,2.264,0.0172,74,11,Yes,30,1,42.950489,-89.869416,N4 - Plant 2
June-17-2022,North,4,3,28,0,V,0,0,0,2.94,0.0183,99,,Yes,30,1,42.950489,-89.869416,N4 - Plant 3
June-17-2022,North,4,4,27,1,V,0,0,0,1.775,0.0185,109,,Yes,30,1,42.950489,-89.869416,N4 - Plant 4
June-17-2022,North,4,5,41,30,V,0,0,0,2.317,0.0178,135,4,Yes,30,1,42.950489,-89.869416,N4 - Plant 5
June-17-2022,North,4,6,25,1,V,0,0,0,2.063,0.0151,162,8,Yes,30,1,42.950489,-89.869416,N4 - Plant 6
June-17-2022,North,4,7,29,0,V,0,0,0,2.752,0.0231,170,3,Yes,30,1,42.950489,-89.869416,N4 - Plant 7
Aug-10-22,North,5,1,30,2,Fr,0,1,2,0.887,0.0067,164,10,Yes,10,5,42.443,-89.2073,Culvan-1
June-17-2022,North,5,1,18,1,V,0,0,0,1.888,0.0147,132,7,Yes,10,5,42.442998,-89.207294,N5 - Plant 1
Aug-10-22,North,5,2,43,4,V,0,0,0,1.04,0.0069,144,8,Yes,10,5,42.443,-89.2073,Culvan-2
